Rank,Username,Categories,Subscribers,ISO-2,ISO-3,Average Visits,Average Likes,Average Comments
1,tseries,Entertainment,249500000.00,IN,IND,"86,200","2,700",78
2,MrBeast,Entertainment,183500000.00,US,USA,"117,400,000","5,300,000","18,500"
3,CoComelon,Music,165500000.00,US,USA,"7,000,000","24,700",0
4,SETIndia,Entertainment,162600000.00,IN,IND,"15,600",166,9
5,KidsDianaShow,Hobby,113500000.00,US,USA,"3,900,000","12,400",0
6,PewDiePie,Action_game,111500000.00,JP,JPN,"2,400,000","197,300","4,900"
7,LikeNastyaofficial,Lifestyle_(sociology),107500000.00,US,USA,"2,600,000","28,000",0
8,VladandNiki,Hobby,101400000.00,US,USA,"4,100,000","22,100",0
9,zeemusiccompany,Music_of_Asia,99700000.00,IN,IND,"74,300","2,600",32
10,WWE,Entertainment,97200000.00,US,USA,"184,500","6,300",214
11,BLACKPINK,Music,91300000.00,KR,KOR,"863,200","146,900","3,400"
12,GoldminesTelefilms,Entertainment,89700000.00,IN,IND,"34,600",421,13
13,SonySAB,Film,85400000.00,IN,IND,"35,500",615,21
14,5MinuteCraftsYouTube,Lifestyle_(sociology),80300000.00,US,USA,"164,600",703,35
15,BTS,Music,76500000.00,KR,KOR,"969,700","180,300","7,400"
16,HYBELABELS,Pop_music,72700000.00,KR,KOR,"440,700","23,900",932
17,zeetv,Entertainment,72500000.00,IN,IND,"7,300",144,1
18,Pinkfong,Entertainment,69600000.00,US,USA,"506,400",397,0
19,ChuChuTV,Film,67500000.00,IN,IND,"652,100","17,800",0
20,KondZilla,Hip_hop_music,66600000.00,BR,BRA,"30,400","1,100",4
21,colorstv,Entertainment,66600000.00,IN,IND,"14,700",413,3
22,filmigaane,Music,66400000.00,IN,IND,"33,000",392,18
23,TSeriesBhaktiSagar,Music_of_Asia,62600000.00,IN,IND,"24,900",983,35
24,tipsofficial,Music_of_Asia,60900000.00,IN,IND,"80,200",935,22
25,MOVIECLIPS,Film,59900000.00,US,USA,"16,600",231,9
26,ElReinoInfantil,Entertainment,59700000.00,AR,ARG,"393,000","2,600",0
27,dudeperfect,Lifestyle_(sociology),59700000.00,US,USA,"5,300,000","156,500","4,200"
28,aajtak,Society,58900000.00,IN,IND,"7,600",229,4
29,WaveMusicIndia,Music,58700000.00,IN,IND,"36,600",792,54
30,SonyMusicIndia,Music_of_Asia,57900000.00,IN,IND,"26,300",964,21
31,marshmello,Music,56700000.00,US,USA,"145,900","8,900",167
32,yrf,Film,55700000.00,IN,IND,"60,300","2,100",33
33,infobellshindirhymes,Film,55700000.00,IN,IND,"1,200,000","34,700",0
34,LooLooKids,Music,54800000.00,US,USA,"595,600","2,700",0
35,TaylorSwift,Music,54100000.00,US,USA,"4,300,000","300,400","15,000"
36,EdSheeran,Pop_music,53700000.00,GB,GBR,"144,200","10,200",345
37,BillionSurpriseToys,Film,53100000.00,US,USA,"1,600,000",0,0
38,ArianaGrande,Pop_music,52900000.00,US,USA,"1,100,000","85,800","3,800"
39,shemaroo,Television_program,48800000.00,IN,IND,"22,600",163,7
40,JuegaGerman,Video_game_culture,48600000.00,CL,CHL,"2,000,000","117,100","3,000"
41,BillieEilish,Pop_music,48600000.00,US,USA,"208,100","27,200",476
42,getmovies,Film,48100000.00,RU,RUS,"55,700",329,0
43,sonymusicindiaVEVO,Music_of_Asia,47500000.00,IN,IND,"36,600",664,28
44,A4a4a4a4,Lifestyle_(sociology),47300000.00,BY,BLR,"9,700,000","330,400","22,000"
45,badabunOficial,Lifestyle_(sociology),47000000.00,MX,MEX,"6,800",260,4
46,Fernanfloo,Entertainment,46500000.00,SV,SLV,0,0,0
47,BadBunnyPR,Music_of_Latin_America,46500000.00,PR,PRI,0,0,0
48,HarPalGeoOfficial,Film,46400000.00,PK,PAK,"11,000",299,2
49,vootkids,Film,46000000.00,IN,IND,"540,900","3,400",0
50,ARYDigitalasia,Entertainment,45900000.00,PK,PAK,"20,000",242,13
51,felipeneto,Lifestyle_(sociology),45600000.00,BR,BRA,"850,600","82,100","1,100"
52,abscbnentertainment,Television_program,45000000.00,PH,PHL,"6,100",180,2
53,vcsabiavideos,Entertainment,45000000.00,BR,BRA,"665,700","39,800",593
54,BRIGHTSIDEOFFICIAL,Film,44600000.00,CY,CYP,"22,700",430,21
55,KatyPerry,Pop_music,44400000.00,US,USA,"101,400","7,500",177
56,Shakira,Lifestyle_(sociology),44400000.00,CO,COL,"102,100","8,200",210
57,whindersson,Entertainment,44400000.00,BR,BRA,"174,600","35,700",154
58,MashaBearRUSSIAN,Television_program,44200000.00,RU,RUS,"664,500","5,700",0
59,Alanwalkermusic,Music,44000000.00,NO,NOR,"124,700","8,200",205
60,MashaBearEN,Television_program,43700000.00,US,USA,"856,200","7,500",0
61,HolaSoyGerman,Lifestyle_(sociology),43600000.00,CL,CHL,0,0,0
62,Mikecrack,Action_game,43400000.00,ES,ESP,"2,200,000","183,400","1,800"
63,toysandcolors,Lifestyle_(sociology),42900000.00,US,USA,"2,000,000","4,600",0
64,speedrecords,Music_of_Asia,42900000.00,IN,IND,"21,100","1,100",30
65,LikeNastya_Show,Hobby,42500000.00,US,USA,"972,200","2,400",0
66,KimberlyLoaiza,Lifestyle_(sociology),42100000.00,MX,MEX,"5,300,000","271,300","16,000"
67,IshtarMusic,Music_of_Asia,42100000.00,IN,IND,"32,600",994,9
68,luisitocomunica,Tourism,41100000.00,MX,MEX,"2,500,000","128,900","1,800"
69,LittleBabyBum,Music,41000000.00,US,USA,"99,000",184,0
70,shfa2,Lifestyle_(sociology),40600000.00,AE,ARE,"585,500","4,800",0
71,CarryMinati,Entertainment,40300000.00,IN,IND,0,0,0
72,luccastoon,Film,40100000.00,BR,BRA,"588,600","13,100",0
73,SuperSimpleSongs,Music,39900000.00,CA,CAN,"648,400","10,100",0
74,JessNoLimit,Video_game_culture,39600000.00,ID,IDN,"1,300,000","73,500","1,600"
